movie name,ratings
234. Ah-ga-ssi,8.1
235. Into the Wild,8.1
236. My Father and My Son,8.2
237. The Sound of Music,8.1
238. La battaglia di Algeri,8.1
239. The Grapes of Wrath,8.1
240. To Be or Not to Be,8.1
241. Groundhog Day,8.0
242. Amores perros,8.1
243. Rebecca,8.1
244. Cool Hand Luke,8.1
245. The Iron Giant,8.1
246. The Help,8.1
247. It Happened One Night,8.1
248. Aladdin,8.0
249. Dances with Wolves,8.0
"250. Paris, Texas",8.1
